下午4:58 - 2017年5月31日," Looking forward to hearing @AminaJMohammed discuss collaboration b/w UN and AU - realizing SDGs & agenda 2063 #africanwomenleaders "
下午4:53 - 2017年5月31日," NEPAD, OSSAP-SDGs Collaborate for Sustainable Devt - THISDAY Newspapers http://dlvr.it/PHdmc9? #SDGs pic.twitter.com/N8BJoklzCA "
下午4:53 - 2017年5月31日," NEPAD, OSSAP-SDGs Collaborate for Sustainable Devt - THISDAY Newspapers http://dlvr.it/PHdmdC? #SDGs pic.twitter.com/KExNwo4E5B "
下午4:53 - 2017年5月31日," Big Data analytics to help U.N. achieve key development goals - Yonhap News http://dlvr.it/PHdmW4? #SDGs pic.twitter.com/nCbfkpkKZj "
下午4:53 - 2017年5月31日," Big Data analytics to help U.N. achieve key development goals - Yonhap News http://dlvr.it/PHdmR6? #SDGs pic.twitter.com/u9gsAHnU9B "
下午4:48 - 2017年5月31日," NEPAD, OSSAP-SDGs Collaborate for Sustainable Devt http://dlvr.it/PHdjYw?pic.twitter.com/k5wm4Hboi9 "
下午4:44 - 2017年5月31日," 60% of companies are integrating the SDGs into business strategy- survey of Ethical Corporation?s global community http://www.ethicalcorp.com/60-companies-are-integrating-sdgs-business-strategy?platform=hootsuite?? "
下午4:42 - 2017年5月31日," The latest United Nations Daily! http://paper.li/MasonPeterJ/1361367790?edition_id=d907af90-465a-11e7-9978-002590a5ba2d?? #sdgs #oceans "
下午4:33 - 2017年5月31日," NEPAD, OSSAP-SDGs Collaborate for Sustainable Devt http://dlvr.it/PHdVsl?pic.twitter.com/LvO1cusFUm "
下午4:33 - 2017年5月31日," CONGRATULATIONS @FriendFiji & partners on publications launch.Get your copy on Saturdays @fijitimes Don't miss out! #pacificorganic #SDGs pic.twitter.com/ITVP4VRsnM "
下午4:28 - 2017年5月31日," #Health: Tobacco contributes to 16% of all noncommunicable diseases (NCDs) deaths.  #health #tobaccoday #notobaccoday #globalgoals #SDGs pic.twitter.com/lIq2A8zFLZ "
下午4:25 - 2017年5月31日," "Educating adolescent girls can transform societies." @hollygordon #GlobalGoals #SDGs http://bit.ly/2rFTUet? "
下午4:15 - 2017年5月31日," Dr Asif Chida @UNDP_Pacific "emphasize to bring in youths into #agriculture The average age of farmers is 55" #pacificorganic #SDGs pic.twitter.com/V7VwxB2TtY "
下午4:15 - 2017年5月31日," Country #data is  to create a solid foundation for analysis, action & #accountability, in working towards achieving #SDGs for all #EWECisME "
下午4:11 - 2017年5月31日," #tobacco & #environment Cigarette butts account for 30?40% of all items collected in coastal & urban clean-ups. #environmentaljustice #SDGs pic.twitter.com/nICjZkt1lF "
下午4:01 - 2017年5月31日," Programme Specialist, Urbanization and the?SDGs http://naukriblog.com/programme-specialist-urbanization-and-the-sdgs/?? "
下午3:58 - 2017年5月31日," Day 518 - #Developers do what U like to build stronger economies  People are the true #4ir #IoT #SDGs #stem etc  http://www.noausterity.com/gyo_tip.html? "
下午3:57 - 2017年5月31日," #WHA70 reviewed a report on progress towards the health-related Sustainable Development Goals https://goo.gl/oYW7uP? #SDGs pic.twitter.com/UbL8UesyNI "
下午3:52 - 2017年5月31日," The paradox of SDGs: environmental change is not isolated and it is fundamentally incompatible with economic growth #DLSurbanhealth "
下午3:51 - 2017年5月31日," Bringing organic food to your table!  #pacificorganic #SDGs "
下午3:51 - 2017年5月31日," Thea s need of #RigWells @ home to increase productivity than water supply @ IDP camps #SDGs a myth to many of us just like #MDGspic.twitter.com/o0HgBE5zy4 "
下午3:50 - 2017年5月31日," It is!  #pacificorganic #SDGs "
下午3:47 - 2017年5月31日," SDGs 2015 meets Rio 1992: visualizing the global goals as balancing environment, society, and economy. pic.twitter.com/lLYxuHP8H6 "
下午3:44 - 2017年5月31日," We hv talked abt #MDGs never saw a single $ of it but more #IDPs, now we hv new story #SDGs with the worst drought impacts pic.twitter.com/HGX7jsoTC7 "
下午3:37 - 2017年5月31日," @ddlovato Please help us at the @UN with the #SDGs. I see that you have 276,242,695 views on this song of yours that I like. Mobilize plz "
下午3:24 - 2017年5月31日," Having access to clean #wateris essential to achieving the #GlobalGoals #SDGs #ArabDevpic.twitter.com/AvoldO9R7T "
下午3:22 - 2017年5月31日," ASEM members cooperation toward UN SDGs China and EU strengthen commitment to Paris deal with US poised to step away https://www.theguardian.com/environment/2017/may/31/china-eu-climate-lead-paris-agreement?CMP=share_btn_tw?? "
下午3:21 - 2017年5月31日," Training session at #Irele during #SDGSDIGITALTRAINING that held in OndoState @ossap_sdgs @MindThe_GapNG @elijahuwas @IAmPeterAkinolapic.twitter.com/JMDFq1mVjN "
下午3:21 - 2017年5月31日," Dr Varawa @FriendFiji "There is n overwhelming increase rate of #NCD in #Fiji Contributing factor:Unhealthy nutrition" #pacificorganic #SDGs pic.twitter.com/iNJlesYBFx "
下午3:20 - 2017年5月31日," "Policies have 2 be not just gender-responsive but actively advance gender equality&empowerment"#SDGs @UN_Women @UNDESApic.twitter.com/MGTyNBddL4 "
下午3:18 - 2017年5月31日," Check out the new @UNEP #freshwater strategy for implementing #SDGs 2017-2021: https://twitter.com/UN_Water/status/869670776286449665?? "
下午3:17 - 2017年5月31日," Hello Eya, the training continues online. To access the training materials and certificate, sign up at http://mindthegap.ng/signup? "
下午3:17 - 2017年5月31日," Excellent talk by @RELXGroupHQ Marcia Balisiciano at #MirrorsOrMovers @WeAreRMF #trust #accuracy #reliability #SDGs pic.twitter.com/gT594fPzK7 "
