下午3:57 - 2017年1月31日," Not just your government, your workplace also, as the #SDGs are about a better society and environment we can all live in. "
下午3:56 - 2017年1月31日," Excited to be at @sdgoneforall launch event! Pick a goal, take the pledge + help achieve the #sdgs: http://www.oneforall.org? #sdglivepic.twitter.com/qoMARPMOgX "
下午3:53 - 2017年1月31日," @LeoDiCaprio We want to see you on our Youth Speak Forum! #climatechange is real   #VisitMostar #VisitBiH #AIESEC #SDGs "
下午3:53 - 2017年1月31日," "We have to deliver. And we have to invest in our institutions" - like the UN! @UNYouthEnvoy @SDGMediaZone #SDGs #OneForAllpic.twitter.com/QVRgHRFXcV "
下午3:52 - 2017年1月31日," Challenges & Opportunities for the United Nations Sustainable Development Goals (#SDGs) Panel at SIPA #Columbia  Universitypic.twitter.com/ssmGP3tW6t ? ? International Affairs Building - Columbia University "
下午3:50 - 2017年1月31日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午3:50 - 2017年1月31日," "Youth are not asking not for charity, but for investment -- 17 #SDGs, 13 years to achieve them." @AhmadAlhendawi, @UNYouthEnvoy #Youth2030 "
下午3:46 - 2017年1月31日," .@tgettu notes that national data collection and analysis systems and knowledge sharing will be key for achieving the #SDGs and #2030Agenda "
下午3:46 - 2017年1月31日," "Only cooperation can take us to a #futurewewant." Repeat this #Youth2030 message from @UNECOSOC, @plus_socialgood at large. #2030Now #SDGs "
下午3:45 - 2017年1月31日," Check out my last 5 tweets! #macewanu #nursing students are engaging with the #UN #SDGs! #sdgmove #abpse #pse #advocacy #nurses #edtech #yeg "
下午3:42 - 2017年1月31日," sdgs "
下午3:42 - 2017年1月31日," .@tgettu: More challenges to achieving the #2030Agenda: protracted conflict, terrorism, reducing poverty and inequality #SDGs #SIPA70 (2/2) "
下午3:40 - 2017年1月31日," .@tgettu: Challenges in achieving the #2030Agenda: creating inclusive economic growth; dealing with large-scale disasters (1/2) #SDGs "
下午3:39 - 2017年1月31日," "A statesman is a politician who thinks of their grandchildren. We are all statesmen. The #SDGs are the roadmap for the future." #OneForAll "
下午3:39 - 2017年1月31日," Wherever-you go, advocate for the #SDGs, support their implementation & hold your Governments accountable. @UNECOSOC #youth2030 @YouthSDGs "
下午3:35 - 2017年1月31日," The UN Council President urges governments to include youth in decision making and offices #YOUTH2030 #SDGs pic.twitter.com/nbgr4GfcxE "
下午3:35 - 2017年1月31日," Congrats #Guterres from #GlobalCitizens on being named #nextsg. Lets make #SDGs a reality by 2030 and end extreme poverty once and for all. "
下午3:34 - 2017年1月31日," Wherever-you go, advocate for the #SDGs, support their implementation & hold your Governments accountable. #YOUTH2030 "
下午3:31 - 2017年1月31日," Congrats #Guterres from #GlobalCitizens on being named #nextsg. Lets make #SDGs a reality by 2030 and end extreme poverty once and for all. "
下午3:31 - 2017年1月31日," UNSDSN: Here are the most popular #SDGs in the #YouthSolutions report. Tweet us your favorite using #MySDG.? https://twitter.com/i/web/status/826573025390755841?? "
下午3:59 - 2017年1月30日," ???????????????????????????????????????????????????????????????????????????????? #???? http://www.asahi.com/special/sdgs/interview/thomas-gass01/??http://www.asahi.com/articles/ASK1T7KPQK1TUPQJ006.html?ref=tw_asahi_tokyo?? "
下午3:58 - 2017年1月30日," Support #SDGs with public and private finance @UNCDF 50th anniversarypic.twitter.com/kMgZiBY7RY "
下午3:55 - 2017年1月30日," Organizational #sustainability w/ Green Globe's Pathway #SDGs #energy #water #waste #community #socialgood #philanthropy #messaging more "
下午3:51 - 2017年1月30日," ????????????????????????? http://www.asahi.com/articles/ASK1V7WVSK1VUPQJ00T.html??pic.twitter.com/L4zJ3ZAqGY "
下午3:50 - 2017年1月30日," ?????????????????????????????????????? http://www.asahi.com/articles/DA3S12773037.html?? "
下午3:50 - 2017年1月30日," La consolidation des Institutions est essentielle ? la r?alisation des Objectifs de D?veloppement Durable #WDR2017 #RDC #SDGs #ODD16pic.twitter.com/NFEyVq2onK "
下午3:47 - 2017年1月30日," @ItalyUN_NY support @GRUN_NY #Portugal exhibition on #SDGs pic.twitter.com/nQeh4HDijK "
下午3:47 - 2017年1月30日," Undangan dari SDGs Forum #geografi #sustainable #development #igegamapic.twitter.com/W34rGaTW8f "
下午3:46 - 2017年1月30日," ??????????????????????????????????????????????????? http://www.asahi.com/articles/DA3S12773202.html?? "
下午3:41 - 2017年1月30日," ?????????????????????????????????????????????????? http://www.asahi.com/articles/DA3S12773182.html?? "
下午3:32 - 2017年1月30日," Launch #SDGs A Visual Dialogue A Photographic Exhibition a must visit  @UN_PGA @GRUN_NY @Portugalpic.twitter.com/7KBIm7jntz "
下午3:31 - 2017年1月30日," It's about urban development! To achieve the #SDGs, we must achieve #NewUrbanAgenda. Join our side event tomorrow @unhabitatyouth #youth2030pic.twitter.com/hIN6iP0ZnN "
下午3:30 - 2017年1月30日," It's about urban development! To achieve the SDGs, we must achieve the #NewUrbanAgenda. Join our side event... http://fb.me/3nQgwVqNA? "
下午3:30 - 2017年1月30日," Missed the #SDGLive sessions at the #Youth2030 forum today? Don?t worry! Watch here: http://bit.ly/Xtppxe? #SDGs #GlobalGoalspic.twitter.com/nWABUrtwFH "
下午3:30 - 2017年1月30日," Watch "Africa?s Youth in the Realization of the SDGs" from the @SDGMediaZone @UN ECOSOC #Youth2030 Forum. Link here:http://webtv.un.org/watch/africa%E2%80%99s-youth-in-the-realization-of-the-sdgs-digital-media-zone-ecosoc-youth-forum-2017/5302872293001?? "
下午3:28 - 2017年1月30日," #Give2Get CEO #GradyLee builds on @ianbremmer's speech about #Geopolitics & the #SDGs. LocalProblems #LocalSolutions http://bit.ly/2jugmPl?pic.twitter.com/JPlqit6GXC "
下午3:27 - 2017年1月30日," What's so great about the Great Lakes?  #GreatLakes #Water #Freshwater #SDGs https://www.youtube.com/watch?v=gBRcOLcEwF0&sns=tw?? "
下午3:27 - 2017年1月30日," Thank you, Women, I am&will proudly walk by & for You any day of the week! Must read via @dinachka82 https://medium.com/bigger-picture/about-your-poem-1f26a7585a6f#.7kezyrfr7?? #sdgs #sdg5pic.twitter.com/bFsL8n3RrM "
下午3:25 - 2017年1月30日," ?????????? ??????????????????????????????????????(1/31?????? http://bit.ly/2jMQFN3? "
下午3:22 - 2017年1月30日," ???????????????17???????1??16????????????????????????????????? "
下午3:20 - 2017年1月30日," #Solar #renewableenergy #SDGs https://twitter.com/NRDC/status/826203395820224512?? "
下午3:18 - 2017年1月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
下午3:18 - 2017年1月30日," Congrats #Guterres from #GlobalCitizens on being named #nextsg. Lets make #SDGs a reality by 2030 and end extreme poverty once and for all. "
下午3:15 - 2017年1月30日," @YouthAssembly Hope to be with you the next time We can make the difference. Concrete change #energyaccess #genderequity #futureofwork #SDGs "
下午3:12 - 2017年1月30日," See how #Ericsson is committed to a better tomorrow as we use the power of #ICT to reach the #SDGs!... #TeamEricsson http://bit.ly/2kkVuhf?pic.twitter.com/LFq0wiqctg "
