下午3:56 - 2017年2月28日," Getting ready for the 1-3 March Global Festival of Ideas for Sustainable Development in #Bonn http://GlobalFestivalofIdeas.org? #GFI4SD #SDGs pic.twitter.com/RNsxnsKBYx "
下午3:54 - 2017年2月28日," Looking forward to the launch of the #Coalition2030 tomorrow! #SDGs https://twitter.com/onoliathain/status/836677744775868416?? "
下午3:53 - 2017年2月28日," Robust evidence critical to save lives, protect #SRHR & promote #SDGs. Shld trump political ideology @HRPresearch http://www.who.int/reproductivehealth/STAG-STATEMENT.pdf?? "
下午3:52 - 2017年2月28日," Sustainable Development Goals critical for better future for all: Deputy #UN chief @AminaJMohammed http://www.un.org/apps/news/story.asp?NewsID=56261#.WLYMvoXb0YV.twitter?? #SDGs #SustDev "
下午3:50 - 2017年2月28日," Great to see @spc_cps supporting on #SDGs and hoping to connect on @GLISPA_discuss #IslandResilienceInitiative. #islandresilience #precoveryhttps://twitter.com/ColinTukuitonga/status/836722741818490881?? "
下午3:47 - 2017年2月28日," Osinbajo Inaugurates SDGs Private Sector Advisory Group http://ift.tt/2mC8Swf? "
下午3:47 - 2017年2月28日," Very excited to be working in EOSG under @UN Deputy Secretary-General @AminaJMohammed #MakingNigeriaProud #2030Agenda #SDGs #ClimateChangepic.twitter.com/tzjO53FLIV "
下午3:45 - 2017年2月28日," Congratulations @AminaJMohammed on your position as @UN Deputy Secretary-General and for your vital work on promoting the #SDGs pic.twitter.com/EmxRLiWjOW "
下午3:42 - 2017年2月28日," Osinbajo Inaugurates SDGs Private Sector Advisory Group: Acting President? https://goo.gl/fb/yWEOXM? Via @TheNewsDotNG "
下午3:40 - 2017年2月28日," Pacific Community @spc_cps provides statistics support to #Pacific Nations; here grappling w SDGs pic.twitter.com/zZVnn1Dpqj "
下午3:40 - 2017年2月28日," All cars in Norway will be 100% electric by 2025. http://ow.ly/I9em309pUWg? #SDGs #SDG7 #SDG11 "
下午3:38 - 2017年2月28日," Proud to lead #NYCJuniorAmbassadors. We teach #youth about @UN #SDGs and the role they can play in achieving the #2030agenda!pic.twitter.com/g9ISWg4yJL "
下午3:29 - 2017年2月28日," #Y.Cordes On #Agricultural #Investment SDGs and Human Rights #AG #agriculture:https://foodtank.com/news/2017/02/kaitlin-cordes-investing-in-agriculture/?? "
下午3:28 - 2017年2月28日," The achievement of #SDGs is indeed our collective responsibility. Let's work towards securing the future of generations yet unborn. https://twitter.com/UNECOSOC/status/836599723054284800?? "
下午3:22 - 2017年2月28日," Congrats @WFP @ShareTheMealorg for winning best app for #SDGs #GLOMO at #mwc17 @DIAL_community @unfoundation #Zerohunger @GSMAm4dpic.twitter.com/76V1OH5p6u "
下午3:19 - 2017年2月28日," Retweeted We ASOcial (@DigiCommsNG):  Ag Pres @ProfOsinbajo inaugurates Sustainable Development Goals (SDGs) &... http://fb.me/1boW8OMXI? "
下午3:16 - 2017年2月28日," Osinbajo inaugurates Private Sector Advisory Group for SDGs http://dlvr.it/NVqwzH?pic.twitter.com/U9aNWlRT6K "
下午3:15 - 2017年2月28日," Village achieves 12 SDGs: OUT of the 17 global sustainable development goals (SDGs), the Domil community in? http://dlvr.it/NVqvGT? #PNG "
下午3:14 - 2017年2月28日," Cooperatives Day is in 123 days #coopsday #UN #UN4coops #SDGs "
